PARTICIPANT_ID,AGE,HAS_TAKEN_TYPING_COURSE,COUNTRY,LAYOUT,NATIVE_LANGUAGE,FINGERS,KEYBOARD_TYPE,ERROR_RATE,AVG_WPM_15,ROR
278,20,1,US,qwerty,en,9-10,full,0.161550888529887,74.4907,0.5387
280,24,1,MY,qwerty,ms,9-10,full,0.341880341880342,59.9574,0.3941
281,49,0,US,qwerty,en,7-8,laptop,0.28735632183908,45.2207,0.213
282,21,0,IN,qwertz,hi,9-10,full,1.16279069767442,25.6505,0.244
284,27,0,IN,qwerty,hi,3-4,full,1.25195618153365,50.6424,0.0602
285,27,0,IN,qwerty,ta,7-8,laptop,2.12765957446809,40.9909,0.2838
287,20,0,BN,qwerty,ms,3-4,laptop,7.79896013864818,33.9617,0.0217
288,24,0,TH,qwerty,th,7-8,full,1.54109589041096,29.3987,0.1636
289,27,0,MY,qwerty,ms,1-2,full,0.0,43.3887,0.062
292,28,0,IN,qwerty,en,1-2,laptop,1.47368421052632,63.293,0.2971
296,28,0,IN,qwerty,en,9-10,full,1.74603174603175,25.9352,0.3101
299,29,0,PH,qwerty,en,1-2,laptop,1.10584518167457,32.7683,0.0701
309,26,0,PK,qwertz,en,9-10,full,3.83673469387755,34.4191,0.1653
312,37,0,PH,qwerty,tl,7-8,full,0.645161290322581,41.3077,0.1466
316,29,0,US,qwerty,en,1-2,laptop,1.94319880418535,20.8665,0.0407
317,21,0,BN,qwerty,ms,7-8,laptop,1.52801358234295,45.8978,0.368
319,19,0,US,qwerty,en,9-10,laptop,0.139275766016713,75.7844,0.5434
322,30,1,IN,qwerty,te,7-8,full,0.463678516228748,41.4086,0.3939
324,19,0,US,qwerty,en,7-8,laptop,1.34615384615385,33.1163,0.1172
327,26,0,PH,qwerty,en,9-10,laptop,0.523560209424084,83.9777,0.6709
328,35,0,IN,qwerty,en,9-10,laptop,1.0183299389002,67.3202,0.4596
338,20,1,PH,qwerty,en,3-4,on-screen,0.153374233128834,60.6244,0.1738
341,18,1,US,qwerty,en,9-10,full,0.0,59.7138,0.4938
344,25,0,US,qwerty,en,3-4,laptop,4.25531914893617,45.6149,0.0667
345,19,0,US,qwerty,en,9-10,laptop,2.54574383452665,79.6279,0.5904
346,24,0,MY,qwerty,en,7-8,full,4.74576271186441,56.2434,0.2389
353,23,0,PH,qwerty,en,5-6,laptop,0.983606557377049,29.9547,0.2465
354,18,0,AU,qwerty,en,7-8,laptop,1.54559505409583,77.1955,0.2798
355,22,0,NZ,qwerty,en,7-8,full,0.769230769230769,81.7731,0.4729
357,3,0,PK,qwerty,en,9-10,full,0.284090909090909,32.407,0.3003
358,32,0,IN,qwerty,ta,5-6,laptop,1.71606864274571,30.8387,0.0651
360,20,1,PH,qwerty,en,9-10,full,0.578034682080925,31.6652,0.228
369,19,0,US,qwerty,en,9-10,laptop,1.50970524802301,84.9994,0.6542
373,22,1,IN,qwerty,en,9-10,laptop,1.17647058823529,48.9956,0.447
374,53,0,PH,qwerty,tl,1-2,laptop,1.52314001171646,29.2361,0.0428
377,21,0,BN,qwerty,ms,3-4,laptop,5.06993006993007,35.0541,0.0184
382,19,0,AU,qwerty,en,5-6,full,1.30505709624796,77.3549,0.4122
383,23,0,PH,qwerty,en,5-6,laptop,0.85747392815759,38.1581,0.2406
384,25,0,CA,qwerty,en,1-2,full,0.308641975308642,101.6909,0.7557
385,19,0,US,qwerty,en,9-10,full,0.655021834061135,73.8043,0.698
386,19,0,TW,qwerty,zh,3-4,full,0.690846286701209,33.5532,0.0677
390,25,0,IN,qwerty,te,1-2,on-screen,0.145772594752187,28.2338,0.0401
398,28,0,PH,qwerty,en,1-2,full,0.292056074766355,40.7377,0.2031
402,23,0,PH,qwerty,en,5-6,full,0.131406044678055,54.7643,0.3428
403,27,0,CN,qwerty,zh,9-10,laptop,0.342465753424658,42.5783,0.1692
404,32,0,GB,qwerty,en,9-10,laptop,0.31055900621118,71.1093,0.5973
409,25,0,IN,qwerty,en,9-10,full,1.07858243451464,33.5466,0.1925
411,25,1,US,qwerty,en,9-10,laptop,0.17636684303351,50.4624,0.1111
414,16,0,GB,qwerty,en,3-4,full,0.247320692497939,84.7503,0.459
423,56,0,FR,azerty,fr,1-2,full,1.94174757281553,53.3394,0.0799
425,17,0,VN,qwerty,vi,7-8,laptop,1.53374233128834,35.6674,0.1169
428,13,1,GB,qwerty,en,9-10,full,0.329489291598023,58.0498,0.4575
431,25,0,TZ,qwerty,en,9-10,laptop,11.1298482293423,15.9734,0.0198
440,27,0,KR,qwerty,ko,9-10,full,0.67911714770798,81.1411,0.4446
441,36,0,IN,qwerty,en,3-4,full,0.782472613458529,28.3084,0.0865
444,32,0,PH,qwerty,tl,5-6,on-screen,2.31121737397888,25.6691,0.0256
447,23,0,AU,qwerty,en,9-10,laptop,0.0716332378223496,39.0561,0.0825
450,23,0,IN,qwerty,en,3-4,full,0.83969465648855,30.7866,0.0683
452,33,1,IN,qwerty,en,9-10,full,0.0,34.0151,0.0539
454,23,0,RO,qwerty,rm,3-4,full,1.15702479338843,38.6864,0.1136
455,28,0,IN,qwerty,hi,5-6,full,0.517241379310345,53.2612,0.27
456,22,1,US,qwerty,en,9-10,full,0.735294117647059,63.6627,0.2563
